2018-01-25 13:37:39 startup packages configure
2018-01-25 13:37:39 configure git-man:all 1:2.11.0-3+deb9u2 <none>
2018-01-25 13:37:39 status unpacked git-man:all 1:2.11.0-3+deb9u2
2018-01-25 13:37:39 status half-configured git-man:all 1:2.11.0-3+deb9u2
2018-01-25 13:37:39 status installed git-man:all 1:2.11.0-3+deb9u2
2018-01-25 13:37:39 configure mime-support:all 3.60 <none>
2018-01-25 13:37:39 status unpacked mime-support:all 3.60
2018-01-25 13:37:39 status half-configured mime-support:all 3.60
2018-01-25 13:37:39 status installed mime-support:all 3.60
2018-01-25 13:37:39 configure libldap-common:all 2.4.44+dfsg-5+deb9u1 <none>
2018-01-25 13:37:39 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-01-25 13:37:39 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-01-25 13:37:39 status installed libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-01-25 13:37:40 configure gcc-6-base:armhf 6.3.0-18 <none>
2018-01-25 13:37:40 status unpacked gcc-6-base:armhf 6.3.0-18
2018-01-25 13:37:40 status half-configured gcc-6-base:armhf 6.3.0-18
2018-01-25 13:37:40 status installed gcc-6-base:armhf 6.3.0-18
2018-01-25 13:37:40 configure lsb-base:all 9.20161125 <none>
2018-01-25 13:37:40 status unpacked lsb-base:all 9.20161125
2018-01-25 13:37:40 status half-configured lsb-base:all 9.20161125
2018-01-25 13:37:40 status installed lsb-base:all 9.20161125
2018-01-25 13:37:40 configure sensible-utils:all 0.0.9 <none>
2018-01-25 13:37:40 status unpacked sensible-utils:all 0.0.9
2018-01-25 13:37:40 status half-configured sensible-utils:all 0.0.9
2018-01-25 13:37:40 status installed sensible-utils:all 0.0.9
2018-01-25 13:37:40 configure ncurses-base:all 6.0+20161126-1+deb9u1 <none>
2018-01-25 13:37:40 status unpacked ncurses-base:all 6.0+20161126-1+deb9u1
2018-01-25 13:37:40 status half-configured ncurses-base:all 6.0+20161126-1+deb9u1
2018-01-25 13:37:40 status installed ncurses-base:all 6.0+20161126-1+deb9u1
2018-01-25 13:37:40 configure libc-l10n:all 2.24-11+deb9u1 <none>
2018-01-25 13:37:40 status unpacked libc-l10n:all 2.24-11+deb9u1
2018-01-25 13:37:40 status half-configured libc-l10n:all 2.24-11+deb9u1
2018-01-25 13:37:40 status installed libc-l10n:all 2.24-11+deb9u1
2018-01-25 13:37:41 configure libsemanage-common:all 2.6-2 <none>
2018-01-25 13:37:41 status unpacked libsemanage-common:all 2.6-2
2018-01-25 13:37:41 status half-configured libsemanage-common:all 2.6-2
2018-01-25 13:37:41 status installed libsemanage-common:all 2.6-2
2018-01-25 13:37:41 configure vim-runtime:all 2:8.0.0197-4+deb9u1 <none>
2018-01-25 13:37:41 status unpacked vim-runtime:all 2:8.0.0197-4+deb9u1
2018-01-25 13:37:41 status half-configured vim-runtime:all 2:8.0.0197-4+deb9u1
2018-01-25 13:37:42 status installed vim-runtime:all 2:8.0.0197-4+deb9u1
2018-01-25 13:37:42 configure libaudit-common:all 1:2.6.7-2 <none>
2018-01-25 13:37:42 status unpacked libaudit-common:all 1:2.6.7-2
2018-01-25 13:37:42 status half-configured libaudit-common:all 1:2.6.7-2
2018-01-25 13:37:43 status installed libaudit-common:all 1:2.6.7-2
2018-01-25 13:37:43 configure libpython2.7-minimal:armhf 2.7.13-2+deb9u2 <none>
2018-01-25 13:37:43 status unpacked libpython2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-25 13:37:43 status half-configured libpython2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-25 13:37:43 status installed libpython2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-25 13:37:43 configure netbase:all 5.4 <none>
2018-01-25 13:37:43 status unpacked netbase:all 5.4
2018-01-25 13:37:43 status half-configured netbase:all 5.4
2018-01-25 13:37:43 status installed netbase:all 5.4
2018-01-25 13:37:43 configure libc6:armhf 2.24-11+deb9u1 <none>
2018-01-25 13:37:43 status unpacked libc6:armhf 2.24-11+deb9u1
2018-01-25 13:37:43 status half-configured libc6:armhf 2.24-11+deb9u1
2018-01-25 13:37:46 status installed libc6:armhf 2.24-11+deb9u1
2018-01-25 13:37:46 configure libbsd0:armhf 0.8.3-1 <none>
2018-01-25 13:37:47 status unpacked libbsd0:armhf 0.8.3-1
2018-01-25 13:37:47 status half-configured libbsd0:armhf 0.8.3-1
2018-01-25 13:37:47 status installed libbsd0:armhf 0.8.3-1
2018-01-25 13:37:47 configure libbz2-1.0:armhf 1.0.6-8.1 <none>
2018-01-25 13:37:47 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2018-01-25 13:37:47 status half-configured libbz2-1.0:armhf 1.0.6-8.1
2018-01-25 13:37:47 status installed libbz2-1.0:armhf 1.0.6-8.1
2018-01-25 13:37:47 configure libkmod2:armhf 23-2 <none>
2018-01-25 13:37:47 status unpacked libkmod2:armhf 23-2
2018-01-25 13:37:47 status half-configured libkmod2:armhf 23-2
2018-01-25 13:37:47 status installed libkmod2:armhf 23-2
2018-01-25 13:37:47 configure libtasn1-6:armhf 4.10-1.1 <none>
2018-01-25 13:37:47 status unpacked libtasn1-6:armhf 4.10-1.1
2018-01-25 13:37:47 status half-configured libtasn1-6:armhf 4.10-1.1
2018-01-25 13:37:47 status installed libtasn1-6:armhf 4.10-1.1
2018-01-25 13:37:47 configure libgpg-error0:armhf 1.26-2 <none>
2018-01-25 13:37:47 status unpacked libgpg-error0:armhf 1.26-2
2018-01-25 13:37:47 status half-configured libgpg-error0:armhf 1.26-2
2018-01-25 13:37:47 status installed libgpg-error0:armhf 1.26-2
2018-01-25 13:37:47 configure libgmp10:armhf 2:6.1.2+dfsg-1 <none>
2018-01-25 13:37:47 status unpacked libgmp10:armhf 2:6.1.2+dfsg-1
2018-01-25 13:37:47 status half-configured libgmp10:armhf 2:6.1.2+dfsg-1
2018-01-25 13:37:47 status installed libgmp10:armhf 2:6.1.2+dfsg-1
2018-01-25 13:37:47 configure libc-bin:armhf 2.24-11+deb9u1 <none>
2018-01-25 13:37:47 status unpacked libc-bin:armhf 2.24-11+deb9u1
2018-01-25 13:37:47 status half-configured libc-bin:armhf 2.24-11+deb9u1
2018-01-25 13:37:48 status installed libc-bin:armhf 2.24-11+deb9u1
2018-01-25 13:37:48 configure libseccomp2:armhf 2.3.1-2.1 <none>
2018-01-25 13:37:48 status triggers-pending libc-bin:armhf 2.24-11+deb9u1
2018-01-25 13:37:48 status unpacked libseccomp2:armhf 2.3.1-2.1
2018-01-25 13:37:48 status half-configured libseccomp2:armhf 2.3.1-2.1
2018-01-25 13:37:48 status installed libseccomp2:armhf 2.3.1-2.1
2018-01-25 13:37:48 configure libunistring0:armhf 0.9.6+really0.9.3-0.1 <none>
2018-01-25 13:37:48 status unpacked libunistring0:armhf 0.9.6+really0.9.3-0.1
2018-01-25 13:37:48 status half-configured libunistring0:armhf 0.9.6+really0.9.3-0.1
2018-01-25 13:37:48 status installed libunistring0:armhf 0.9.6+really0.9.3-0.1
2018-01-25 13:37:48 configure libapparmor1:armhf 2.11.0-3 <none>
2018-01-25 13:37:48 status unpacked libapparmor1:armhf 2.11.0-3
2018-01-25 13:37:48 status half-configured libapparmor1:armhf 2.11.0-3
2018-01-25 13:37:48 status installed libapparmor1:armhf 2.11.0-3
2018-01-25 13:37:48 configure libdebconfclient0:armhf 0.227 <none>
2018-01-25 13:37:48 status unpacked libdebconfclient0:armhf 0.227
2018-01-25 13:37:48 status half-configured libdebconfclient0:armhf 0.227
2018-01-25 13:37:48 status installed libdebconfclient0:armhf 0.227
2018-01-25 13:37:48 configure libsqlite3-0:armhf 3.16.2-5+deb9u1 <none>
2018-01-25 13:37:48 status unpacked libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-25 13:37:48 status half-configured libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-25 13:37:48 status installed libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-25 13:37:48 configure diffutils:armhf 1:3.5-3 <none>
2018-01-25 13:37:48 status unpacked diffutils:armhf 1:3.5-3
2018-01-25 13:37:49 status half-configured diffutils:armhf 1:3.5-3
2018-01-25 13:37:49 status installed diffutils:armhf 1:3.5-3
2018-01-25 13:37:49 configure libcomerr2:armhf 1.43.4-2 <none>
2018-01-25 13:37:49 status unpacked libcomerr2:armhf 1.43.4-2
2018-01-25 13:37:49 status half-configured libcomerr2:armhf 1.43.4-2
2018-01-25 13:37:49 status installed libcomerr2:armhf 1.43.4-2
2018-01-25 13:37:49 configure libcap-ng0:armhf 0.7.7-3+b1 <none>
2018-01-25 13:37:49 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2018-01-25 13:37:49 status half-configured libcap-ng0:armhf 0.7.7-3+b1
2018-01-25 13:37:49 status installed libcap-ng0:armhf 0.7.7-3+b1
2018-01-25 13:37:49 configure ethtool:armhf 1:4.8-1+b1 <none>
2018-01-25 13:37:49 status unpacked ethtool:armhf 1:4.8-1+b1
2018-01-25 13:37:49 status half-configured ethtool:armhf 1:4.8-1+b1
2018-01-25 13:37:49 status installed ethtool:armhf 1:4.8-1+b1
2018-01-25 13:37:49 configure libkeyutils1:armhf 1.5.9-9 <none>
2018-01-25 13:37:49 status unpacked libkeyutils1:armhf 1.5.9-9
2018-01-25 13:37:49 status half-configured libkeyutils1:armhf 1.5.9-9
2018-01-25 13:37:50 status installed libkeyutils1:armhf 1.5.9-9
2018-01-25 13:37:50 configure libmnl0:armhf 1.0.4-2 <none>
2018-01-25 13:37:50 status unpacked libmnl0:armhf 1.0.4-2
2018-01-25 13:37:50 status half-configured libmnl0:armhf 1.0.4-2
2018-01-25 13:37:50 status installed libmnl0:armhf 1.0.4-2
2018-01-25 13:37:50 configure libsepol1:armhf 2.6-2 <none>
2018-01-25 13:37:50 status unpacked libsepol1:armhf 2.6-2
2018-01-25 13:37:50 status half-configured libsepol1:armhf 2.6-2
2018-01-25 13:37:50 status installed libsepol1:armhf 2.6-2
2018-01-25 13:37:50 configure libidn11:armhf 1.33-1 <none>
2018-01-25 13:37:50 status unpacked libidn11:armhf 1.33-1
2018-01-25 13:37:50 status half-configured libidn11:armhf 1.33-1
2018-01-25 13:37:50 status installed libidn11:armhf 1.33-1
2018-01-25 13:37:50 configure libgcc1:armhf 1:6.3.0-18 <none>
2018-01-25 13:37:50 status unpacked libgcc1:armhf 1:6.3.0-18
2018-01-25 13:37:50 status half-configured libgcc1:armhf 1:6.3.0-18
2018-01-25 13:37:50 status installed libgcc1:armhf 1:6.3.0-18
2018-01-25 13:37:50 configure libustr-1.0-1:armhf 1.0.4-6 <none>
2018-01-25 13:37:50 status unpacked libustr-1.0-1:armhf 1.0.4-6
2018-01-25 13:37:50 status half-configured libustr-1.0-1:armhf 1.0.4-6
2018-01-25 13:37:50 status installed libustr-1.0-1:armhf 1.0.4-6
2018-01-25 13:37:50 configure libwrap0:armhf 7.6.q-26 <none>
2018-01-25 13:37:50 status unpacked libwrap0:armhf 7.6.q-26
2018-01-25 13:37:50 status half-configured libwrap0:armhf 7.6.q-26
2018-01-25 13:37:50 status installed libwrap0:armhf 7.6.q-26
2018-01-25 13:37:50 configure libsmartcols1:armhf 2.29.2-1 <none>
2018-01-25 13:37:50 status unpacked libsmartcols1:armhf 2.29.2-1
2018-01-25 13:37:51 status half-configured libsmartcols1:armhf 2.29.2-1
2018-01-25 13:37:51 status installed libsmartcols1:armhf 2.29.2-1
2018-01-25 13:37:51 configure libaudit1:armhf 1:2.6.7-2 <none>
2018-01-25 13:37:51 status unpacked libaudit1:armhf 1:2.6.7-2
2018-01-25 13:37:51 status half-configured libaudit1:armhf 1:2.6.7-2
2018-01-25 13:37:51 status installed libaudit1:armhf 1:2.6.7-2
2018-01-25 13:37:51 configure libtinfo5:armhf 6.0+20161126-1+deb9u1 <none>
2018-01-25 13:37:51 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:37:51 status half-configured libtinfo5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:37:51 status installed libtinfo5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:37:51 configure libudev1:armhf 232-25+deb9u1 <none>
2018-01-25 13:37:51 status unpacked libudev1:armhf 232-25+deb9u1
2018-01-25 13:37:51 status half-configured libudev1:armhf 232-25+deb9u1
2018-01-25 13:37:51 status installed libudev1:armhf 232-25+deb9u1
2018-01-25 13:37:51 configure libnettle6:armhf 3.3-1+b2 <none>
2018-01-25 13:37:51 status unpacked libnettle6:armhf 3.3-1+b2
2018-01-25 13:37:51 status half-configured libnettle6:armhf 3.3-1+b2
2018-01-25 13:37:51 status installed libnettle6:armhf 3.3-1+b2
2018-01-25 13:37:51 configure libpopt0:armhf 1.16-10+b2 <none>
2018-01-25 13:37:51 status unpacked libpopt0:armhf 1.16-10+b2
2018-01-25 13:37:51 status half-configured libpopt0:armhf 1.16-10+b2
2018-01-25 13:37:51 status installed libpopt0:armhf 1.16-10+b2
2018-01-25 13:37:51 configure kmod:armhf 23-2 <none>
2018-01-25 13:37:51 status unpacked kmod:armhf 23-2
2018-01-25 13:37:51 status half-configured kmod:armhf 23-2
2018-01-25 13:37:52 status installed kmod:armhf 23-2
2018-01-25 13:37:52 configure libattr1:armhf 1:2.4.47-2+b2 <none>
2018-01-25 13:37:52 status unpacked libattr1:armhf 1:2.4.47-2+b2
2018-01-25 13:37:52 status half-configured libattr1:armhf 1:2.4.47-2+b2
2018-01-25 13:37:52 status installed libattr1:armhf 1:2.4.47-2+b2
2018-01-25 13:37:52 configure libss2:armhf 1.43.4-2 <none>
2018-01-25 13:37:52 status unpacked libss2:armhf 1.43.4-2
2018-01-25 13:37:52 status half-configured libss2:armhf 1.43.4-2
2018-01-25 13:37:52 status installed libss2:armhf 1.43.4-2
2018-01-25 13:37:52 configure libexpat1:armhf 2.2.0-2+deb9u1 <none>
2018-01-25 13:37:52 status unpacked libexpat1:armhf 2.2.0-2+deb9u1
2018-01-25 13:37:52 status half-configured libexpat1:armhf 2.2.0-2+deb9u1
2018-01-25 13:37:52 status installed libexpat1:armhf 2.2.0-2+deb9u1
2018-01-25 13:37:52 configure liblzma5:armhf 5.2.2-1.2+b1 <none>
2018-01-25 13:37:52 status unpacked liblzma5:armhf 5.2.2-1.2+b1
2018-01-25 13:37:53 status half-configured liblzma5:armhf 5.2.2-1.2+b1
2018-01-25 13:37:53 status installed liblzma5:armhf 5.2.2-1.2+b1
2018-01-25 13:37:53 configure libidn2-0:armhf 0.16-1+deb9u1 <none>
2018-01-25 13:37:53 status unpacked libidn2-0:armhf 0.16-1+deb9u1
2018-01-25 13:37:53 status half-configured libidn2-0:armhf 0.16-1+deb9u1
2018-01-25 13:37:53 status installed libidn2-0:armhf 0.16-1+deb9u1
2018-01-25 13:37:53 configure libip4tc0:armhf 1.6.0+snapshot20161117-6 <none>
2018-01-25 13:37:53 status unpacked libip4tc0:armhf 1.6.0+snapshot20161117-6
2018-01-25 13:37:53 status half-configured libip4tc0:armhf 1.6.0+snapshot20161117-6
2018-01-25 13:37:53 status installed libip4tc0:armhf 1.6.0+snapshot20161117-6
2018-01-25 13:37:53 configure base-passwd:armhf 3.5.43 <none>
2018-01-25 13:37:53 status unpacked base-passwd:armhf 3.5.43
2018-01-25 13:37:53 status half-configured base-passwd:armhf 3.5.43
2018-01-25 13:37:55 status installed base-passwd:armhf 3.5.43
2018-01-25 13:37:55 configure libisc-export160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 <none>
2018-01-25 13:37:55 status unpacked libisc-export160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-25 13:37:55 status half-configured libisc-export160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-25 13:37:55 status installed libisc-export160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-25 13:37:55 configure libnghttp2-14:armhf 1.18.1-1 <none>
2018-01-25 13:37:55 status unpacked libnghttp2-14:armhf 1.18.1-1
2018-01-25 13:37:55 status half-configured libnghttp2-14:armhf 1.18.1-1
2018-01-25 13:37:55 status installed libnghttp2-14:armhf 1.18.1-1
2018-01-25 13:37:55 configure e2fslibs:armhf 1.43.4-2 <none>
2018-01-25 13:37:55 status unpacked e2fslibs:armhf 1.43.4-2
2018-01-25 13:37:56 status half-configured e2fslibs:armhf 1.43.4-2
2018-01-25 13:37:56 status installed e2fslibs:armhf 1.43.4-2
2018-01-25 13:37:56 configure liblz4-1:armhf 0.0~r131-2+b1 <none>
2018-01-25 13:37:56 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2018-01-25 13:37:56 status half-configured liblz4-1:armhf 0.0~r131-2+b1
2018-01-25 13:37:56 status installed liblz4-1:armhf 0.0~r131-2+b1
2018-01-25 13:37:56 configure debianutils:armhf 4.8.1.1 <none>
2018-01-25 13:37:56 status unpacked debianutils:armhf 4.8.1.1
2018-01-25 13:37:56 status half-configured debianutils:armhf 4.8.1.1
2018-01-25 13:37:56 status installed debianutils:armhf 4.8.1.1
2018-01-25 13:37:56 configure libgcrypt20:armhf 1.7.6-2+deb9u2 <none>
2018-01-25 13:37:56 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u2
2018-01-25 13:37:56 status half-configured libgcrypt20:armhf 1.7.6-2+deb9u2
2018-01-25 13:37:56 status installed libgcrypt20:armhf 1.7.6-2+deb9u2
2018-01-25 13:37:56 configure xxd:armhf 2:8.0.0197-4+deb9u1 <none>
2018-01-25 13:37:56 status unpacked xxd:armhf 2:8.0.0197-4+deb9u1
2018-01-25 13:37:56 status half-configured xxd:armhf 2:8.0.0197-4+deb9u1
2018-01-25 13:37:56 status installed xxd:armhf 2:8.0.0197-4+deb9u1
2018-01-25 13:37:57 configure libncursesw5:armhf 6.0+20161126-1+deb9u1 <none>
2018-01-25 13:37:57 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:37:57 status half-configured libncursesw5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:37:57 status installed libncursesw5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:37:57 configure libgpm2:armhf 1.20.4-6.2+b1 <none>
2018-01-25 13:37:57 status unpacked libgpm2:armhf 1.20.4-6.2+b1
2018-01-25 13:37:57 status half-configured libgpm2:armhf 1.20.4-6.2+b1
2018-01-25 13:37:57 status installed libgpm2:armhf 1.20.4-6.2+b1
2018-01-25 13:37:57 configure libdb5.3:armhf 5.3.28-12+deb9u1 <none>
2018-01-25 13:37:57 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2018-01-25 13:37:57 status half-configured libdb5.3:armhf 5.3.28-12+deb9u1
2018-01-25 13:37:57 status installed libdb5.3:armhf 5.3.28-12+deb9u1
2018-01-25 13:37:57 configure zlib1g:armhf 1:1.2.8.dfsg-5 <none>
2018-01-25 13:37:57 status unpacked zlib1g:armhf 1:1.2.8.dfsg-5
2018-01-25 13:37:57 status half-configured zlib1g:armhf 1:1.2.8.dfsg-5
2018-01-25 13:37:57 status installed zlib1g:armhf 1:1.2.8.dfsg-5
2018-01-25 13:37:57 configure libpsl5:armhf 0.17.0-3 <none>
2018-01-25 13:37:57 status unpacked libpsl5:armhf 0.17.0-3
2018-01-25 13:37:57 status half-configured libpsl5:armhf 0.17.0-3
2018-01-25 13:37:57 status installed libpsl5:armhf 0.17.0-3
2018-01-25 13:37:57 configure hostname:armhf 3.18+b1 <none>
2018-01-25 13:37:57 status unpacked hostname:armhf 3.18+b1
2018-01-25 13:37:57 status half-configured hostname:armhf 3.18+b1
2018-01-25 13:37:57 status installed hostname:armhf 3.18+b1
2018-01-25 13:37:57 configure multiarch-support:armhf 2.24-11+deb9u1 <none>
